state,year,county,pt_wgwto,pt_wswto,pt_wtotl,pt_cutot,po_wgwto,po_wswto,po_wtotl,po_cutot,pc_wgwto,pc_wswto,pc_wtotl,pc_cutot
CA,1985,Del Norte County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,El Dorado County,0,0,0,0,0,0,0,0,0,0,0,0
CA,2010,El Dorado County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2005,El Dorado County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,El Dorado County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,El Dorado County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,El Dorado County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,El Dorado County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Fresno County,0.02,0,0.02,0.39,0,0,0,0,0.02,0,0.02,0.39
CA,2010,Fresno County,0.62,0,0.62,1.53,0,0,0,0,0.62,0,0.62,1.78
CA,2005,Fresno County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Fresno County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Fresno County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Fresno County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Fresno County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Glenn County,0,0,0,0,0,0,0,0,0,0,0,0
CA,2010,Glenn County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2005,Glenn County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Glenn County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Glenn County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Glenn County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Glenn County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Humboldt County,0,0,0,0.27,0,0,0,0,0,0,0,0.27
CA,2010,Humboldt County,0,56.07,56.07,1.53,0,56.07,56.07,0,0,0,0,1.78
CA,2005,Humboldt County,0,75,75,1.53,0,75,75,0,0,0,0,1.78
CA,2000,Humboldt County,0.77,37.49,37.49,1.53,0.01,37.49,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Humboldt County,0,76,76,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Humboldt County,0.77,38.83,38.84,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Humboldt County,0.77,60.01,60.02,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Imperial County,0,14.57,14.57,12.77,0,0,0,0,0,14.57,14.57,12.77
